q[0], q[1] G104097
q[10], q[11] G075067
q[11], q[12] G074067
q[11], q[24] G067059
q[12], q[13] G080074
q[13], q[14] G080073
q[14], q[15] G079073
q[15], q[16] G085079
q[16], q[17] G085078
q[17], q[18] G078071
q[18], q[19] G071064
q[19], q[20] G072064
q[1], q[2] G105097
q[20], q[21] G072065
q[21], q[22] G065058
q[22], q[23] G066058
q[23], q[24] G066059
q[24], q[25] G059052
q[24], q[51] G059053
q[25], q[26] G052045
q[26], q[27] G051045
q[27], q[28] G051044
q[28], q[29] G050044
q[29], q[30] G050043
q[2], q[3] G105098
q[30], q[31] G043036
q[31], q[32] G036029
q[32], q[33] G037029
q[33], q[34] G037030
q[34], q[35] G030023
q[35], q[36] G023016
q[36], q[37] G016008
q[37], q[38] G008001
q[38], q[39] G009001
q[39], q[40] G017009
q[3], q[4] G098091
q[40], q[41] G024017
q[41], q[42] G031024
q[42], q[43] G038031
q[43], q[44] G046038
q[44], q[45] G046039
q[45], q[46] G039032
q[45], q[50] G047039
q[46], q[47] G032026
q[47], q[48] G033026
q[48], q[49] G040033
q[49], q[50] G047040
q[4], q[5] G091084
q[50], q[51] G053047
q[50], q[54] G054047
q[51], q[52] G060053
q[52], q[53] G068060
q[53], q[55] G068061
q[54], q[55] G061054
q[55], q[56] G069061
q[56], q[57] G069062
q[57], q[58] G070062
q[58], q[59] G070063
q[59], q[60] G063056
q[5], q[6] G090084
q[60], q[61] G056049
q[61], q[62] G055049
q[62], q[63] G055048
q[63], q[64] G048041
q[64], q[65] G041034
q[65], q[66] G042034
q[66], q[67] G042035
q[67], q[68] G035028
q[68], q[69] G028021
q[69], q[70] G027021
q[6], q[7] G090083
q[70], q[71] G027020
q[71], q[72] G020013
q[7], q[8] G089083
q[8], q[9] G089082
q[9], q[10] G082075
