q[0], q[1] G104096
q[10], q[11] G082075
q[11], q[12] G075068
q[12], q[13] G068061
q[13], q[14] G069061
q[14], q[15] G069062
q[15], q[16] G070062
q[16], q[17] G070063
q[17], q[18] G063056
q[18], q[19] G056049
q[19], q[20] G055049
q[1], q[2] G104097
q[20], q[21] G055048
q[21], q[22] G054048
q[21], q[27] G048040
q[22], q[23] G054047
q[23], q[24] G047039
q[24], q[25] G039032
q[25], q[26] G032026
q[26], q[28] G033026
q[27], q[28] G040033
q[28], q[29] G041033
q[29], q[30] G041034
q[2], q[3] G105097
q[30], q[31] G042034
q[31], q[32] G042035
q[32], q[33] G035028
q[33], q[34] G028021
q[34], q[35] G021014
q[35], q[36] G014006
q[36], q[37] G013006
q[37], q[38] G020013
q[38], q[39] G020012
q[39], q[40] G019012
q[3], q[4] G105098
q[40], q[41] G019011
q[41], q[42] G011003
q[42], q[43] G010003
q[43], q[44] G010002
q[44], q[45] G009002
q[45], q[46] G009001
q[46], q[47] G008001
q[47], q[48] G015008
q[48], q[49] G022015
q[49], q[50] G022016
q[4], q[5] G098091
q[50], q[51] G023016
q[51], q[52] G023017
q[52], q[53] G024017
q[53], q[54] G031024
q[54], q[55] G038031
q[55], q[56] G038030
q[56], q[57] G037030
q[57], q[58] G037029
q[58], q[59] G036029
q[59], q[60] G043036
q[5], q[6] G091084
q[60], q[61] G050043
q[61], q[62] G050044
q[62], q[63] G051044
q[63], q[64] G051045
q[64], q[65] G052045
q[65], q[66] G052046
q[66], q[67] G053046
q[67], q[68] G060053
q[68], q[69] G067060
q[69], q[70] G067059
q[6], q[7] G090084
q[70], q[71] G066059
q[71], q[72] G066058
q[7], q[8] G090083
q[8], q[9] G089083
q[9], q[10] G089082
