String: 11111001111100, Coeffs: (0.986545543466444+0j)
String: 11011011101101, Coeffs: (-0.07778811071174441+0j)
String: 11011011110110, Coeffs: (0.047837483916333655+0j)
String: 11101101101101, Coeffs: (0.04783748391633365+0j)
String: 11101101110110, Coeffs: (-0.0468631073767937+0j)
String: 11011101101110, Coeffs: (-0.04334991968708709+0j)
String: 11101011110101, Coeffs: (-0.04179069995083528+0j)
String: 11101011101110, Coeffs: (0.035048292607982964+0j)
String: 11011101110101, Coeffs: (0.03504829260798293+0j)
String: 11101101011110, Coeffs: (-0.032765240764050074+0j)
String: 10111101110110, Coeffs: (-0.032765240764050046+0j)
String: 10111101011110, Coeffs: (-0.03170538865453111+0j)
String: 11011011011110, Coeffs: (0.030754503759487236+0j)
String: 10111101101101, Coeffs: (0.030754503759487226+0j)
String: 11110101111010, Coeffs: (-0.025472048342267878+0j)
String: 10111011101110, Coeffs: (0.020310959822804946+0j)
String: 11011101011101, Coeffs: (0.020310959822804935+0j)
String: 10111011011101, Coeffs: (-0.016476732407208077+0j)
String: 11111001110110, Coeffs: (0.012847515342000593+0j)
String: 11101101111100, Coeffs: (0.012847515342000593+0j)
String: 11111001100111, Coeffs: (0.01278919130835069+0j)
String: 11001111111100, Coeffs: (0.01278919130835069+0j)
String: 10011111111100, Coeffs: (-0.01044354393668229+0j)
String: 11111001001111, Coeffs: (-0.01044354393668229+0j)
String: 11110011111001, Coeffs: (-0.01040337812957664+0j)
String: 11101011011101, Coeffs: (0.003694483128843009+0j)
String: 10111011110101, Coeffs: (0.0036944831288430037+0j)
String: 11011011111100, Coeffs: (-0.003010888693064718+0j)
String: 11111001101101, Coeffs: (-0.003010888693064718+0j)
String: 01111011011101, Coeffs: (0.0007237878428294108+0j)
String: 10111010111101, Coeffs: (0.0007237878428294106+0j)
String: 01111100111110, Coeffs: (-0.0006327607013295556+0j)
String: 11101010111101, Coeffs: (-0.0005075693120055889+0j)
String: 01111011110101, Coeffs: (-0.0005075693120055888+0j)
String: 01011111111100, Coeffs: (-0.0004706694715913209+0j)
String: 11111000101111, Coeffs: (-0.0004706694715913209+0j)
String: 01111010111101, Coeffs: (-0.00041454143065804486+0j)
String: 10111100111110, Coeffs: (0.0002941379739692464+0j)
String: 01111101011110, Coeffs: (0.0002941379739692459+0j)
String: 11011010111110, Coeffs: (0.0002393866419826956+0j)
String: 01111101101101, Coeffs: (0.00023938664198269526+0j)
String: 11011100111101, Coeffs: (-0.0002312828296086258+0j)
String: 01111011101110, Coeffs: (-0.0002312828296086253+0j)
String: 11101100111110, Coeffs: (0.00010863368033974159+0j)
String: 01111101110110, Coeffs: (0.00010863368033974125+0j)
String: 10111101111100, Coeffs: (-6.336351115197996e-05+0j)
String: 11111001011110, Coeffs: (-6.336351115197996e-05+0j)
String: 01111101111100, Coeffs: (-3.054850909096524e-05+0j)
String: 11111000111110, Coeffs: (-3.054850909096524e-05+0j)
String: 11101101101110, Coeffs: (3.739011760040975e-07+0j)
String: 11011101110110, Coeffs: (3.739011759886319e-07+0j)
String: 11011011110101, Coeffs: (-2.4237979250660486e-07+0j)
String: 11101011101101, Coeffs: (-2.423797924984501e-07+0j)
String: 11011011011101, Coeffs: (-2.0211313255271e-07+0j)
String: 10111011101101, Coeffs: (-2.0211313255227489e-07+0j)
String: 11011101011110, Coeffs: (1.935142680655301e-07+0j)
String: 10111101101110, Coeffs: (1.9351426805665434e-07+0j)
String: 11011011101110, Coeffs: (-1.6623252035860157e-07+0j)
String: 11011101101101, Coeffs: (-1.6623252035209202e-07+0j)
String: 10111011110110, Coeffs: (1.2970371096880046e-07+0j)
String: 11101101011101, Coeffs: (1.2970371096505075e-07+0j)
String: 10111101110101, Coeffs: (1.2240073113581235e-07+0j)
String: 11101011011110, Coeffs: (1.2240073113487283e-07+0j)
String: 11101011110110, Coeffs: (-7.754217665004754e-08+0j)
String: 11101101110101, Coeffs: (-7.754217663914562e-08+0j)
String: 10111011011110, Coeffs: (6.887128672123675e-08+0j)
String: 10111101011101, Coeffs: (6.887128669939014e-08+0j)
String: 11110011111010, Coeffs: (5.183543752152321e-08+0j)
String: 11110101111001, Coeffs: (5.1835437499715436e-08+0j)
String: 11101011111100, Coeffs: (-3.065544658444129e-08+0j)
String: 11111001110101, Coeffs: (-3.065544658444129e-08+0j)
String: 11111001101110, Coeffs: (-9.549958336451199e-09+0j)
String: 11011101111100, Coeffs: (-9.549958336451199e-09+0j)
String: 11111001010111, Coeffs: (7.302979833927626e-09+0j)
String: 10101111111100, Coeffs: (7.302979833927626e-09+0j)
String: 11111001011101, Coeffs: (-3.7402229201070995e-09+0j)
String: 10111011111100, Coeffs: (-3.7402229201070995e-09+0j)
String: 01111101110101, Coeffs: (-2.4994441754931695e-09+0j)
String: 11101010111110, Coeffs: (-2.499444173857272e-09+0j)
String: 11101100111101, Coeffs: (-2.050814915875627e-09+0j)
String: 01111011110110, Coeffs: (-2.05081491497634e-09+0j)
String: 01111101011101, Coeffs: (1.8051741666725728e-09+0j)
String: 10111010111110, Coeffs: (1.8051741658778788e-09+0j)
String: 10111100111101, Coeffs: (1.7228039622745448e-09+0j)
String: 01111011011110, Coeffs: (1.722803962019453e-09+0j)
String: 01111100111101, Coeffs: (1.1263470042776312e-09+0j)
String: 01111010111110, Coeffs: (1.1263470041619936e-09+0j)
String: 01111011101101, Coeffs: (-6.112653205719962e-10+0j)
String: 11011010111101, Coeffs: (-6.112653203311263e-10+0j)
String: 11111000110111, Coeffs: (4.486292588809321e-10+0j)
String: 01101111111100, Coeffs: (4.486292588809321e-10+0j)
String: 11011100111110, Coeffs: (-2.173998834078335e-10+0j)
String: 01111101101110, Coeffs: (-2.1739988288200373e-10+0j)
