String: 11111001111100, Coeffs: (0.9860135046583838+0j)
String: 11011011101101, Coeffs: (-0.07873881389806028+0j)
String: 11011011110110, Coeffs: (0.04854252918134004+0j)
String: 11101101101101, Coeffs: (0.04854252918133891+0j)
String: 11101101110110, Coeffs: (-0.047924838182285906+0j)
String: 11011101101110, Coeffs: (-0.044076527867719976+0j)
String: 11101011110101, Coeffs: (-0.04234542646973219+0j)
String: 11011101110101, Coeffs: (0.035565773779627524+0j)
String: 11101011101110, Coeffs: (0.035565773779627476+0j)
String: 11101101011110, Coeffs: (-0.03338622161920978+0j)
String: 10111101110110, Coeffs: (-0.03338622161920963+0j)
String: 10111101011110, Coeffs: (-0.03179863191566703+0j)
String: 10111101101101, Coeffs: (0.031164361659233752+0j)
String: 11011011011110, Coeffs: (0.03116436165923325+0j)
String: 11110101111010, Coeffs: (-0.026742724283100497+0j)
String: 10111011101110, Coeffs: (0.02048466075537818+0j)
String: 11011101011101, Coeffs: (0.020484660755377866+0j)
String: 10111011011101, Coeffs: (-0.016664146701427865+0j)
String: 11101101111100, Coeffs: (0.013034955341663818+0j)
String: 11111001110110, Coeffs: (0.013034955341663046+0j)
String: 11001111111100, Coeffs: (0.012976952790172639+0j)
String: 11111001100111, Coeffs: (0.0129769527901725+0j)
String: 11111001001111, Coeffs: (-0.010679434334488501+0j)
String: 10011111111100, Coeffs: (-0.010679434334488475+0j)
String: 11110011111001, Coeffs: (-0.01028153253209121+0j)
String: 11001111100111, Coeffs: (0.010037688346174498+0j)
String: 10011111001111, Coeffs: (0.005176948719566585+0j)
String: 10011111100111, Coeffs: (-0.00515452974922387+0j)
String: 11001111001111, Coeffs: (-0.005154529749223856+0j)
String: 11101011011101, Coeffs: (0.003733874406881663+0j)
String: 10111011110101, Coeffs: (0.003733874406881479+0j)
String: 11011011111100, Coeffs: (-0.0030047062126184946+0j)
String: 11111001101101, Coeffs: (-0.003004706212618375+0j)
String: 11010111111010, Coeffs: (-0.0026598429932583544+0j)
String: 11110101101011, Coeffs: (-0.0026598429932583496+0j)
String: 11010111101011, Coeffs: (0.0023265604781095104+0j)
String: 10101111010111, Coeffs: (0.002195596410549538+0j)
String: 11101011010111, Coeffs: (-0.0017722233812789325+0j)
String: 10101111110101, Coeffs: (-0.0017722233812789163+0j)
String: 11001111101101, Coeffs: (-0.0017317841134127242+0j)
String: 11011011100111, Coeffs: (-0.0017317841134126303+0j)
String: 11100111110011, Coeffs: (0.0014798579138569625+0j)
String: 10111101100111, Coeffs: (-0.0011037026749689904+0j)
String: 11001111011110, Coeffs: (-0.0011037026749689438+0j)
String: 10011111110110, Coeffs: (0.00106988377840313+0j)
String: 11101101001111, Coeffs: (0.00106988377840312+0j)
String: 10111011010111, Coeffs: (0.0010245225444156362+0j)
String: 10101111011101, Coeffs: (0.001024522544415627+0j)
String: 10110111011011, Coeffs: (0.0007496580038201394+0j)
String: 01111011011101, Coeffs: (0.0007219026795307766+0j)
String: 10111010111101, Coeffs: (0.000721902679530776+0j)
String: 01111100111110, Coeffs: (-0.0006319200616647148+0j)
String: 11101101100111, Coeffs: (-0.0005154712493848827+0j)
String: 11001111110110, Coeffs: (-0.0005154712493848558+0j)
String: 11101010111101, Coeffs: (-0.0005027402845725801+0j)
String: 01111011110101, Coeffs: (-0.0005027402845725795+0j)
String: 11111000101111, Coeffs: (-0.00046713738007828185+0j)
String: 01011111111100, Coeffs: (-0.0004671373800782813+0j)
String: 01111010111101, Coeffs: (-0.00041389094385346434+0j)
String: 10110111110011, Coeffs: (0.0003499435293984797+0j)
String: 11100111011011, Coeffs: (0.00034994352939847733+0j)
String: 10111100111110, Coeffs: (0.00029229869104657226+0j)
String: 01111101011110, Coeffs: (0.00029229869104657193+0j)
String: 01111101101101, Coeffs: (0.00023584760811060557+0j)
String: 11011010111110, Coeffs: (0.00023584760811060394+0j)
String: 01111011101110, Coeffs: (-0.0002312911707396134+0j)
String: 11011100111101, Coeffs: (-0.00023129117073961218+0j)
String: 11111001011110, Coeffs: (-0.00022636578945497732+0j)
String: 10111101111100, Coeffs: (-0.00022636578945480114+0j)
String: 11011011001111, Coeffs: (0.00016410641350578776+0j)
String: 10011111101101, Coeffs: (0.00016410641350577627+0j)
String: 11110011011011, Coeffs: (-0.0001239847134417075+0j)
String: 10110111111001, Coeffs: (-0.00012398471344170404+0j)
String: 10111101001111, Coeffs: (0.00011853483442359313+0j)
String: 10011111011110, Coeffs: (0.00011853483442358321+0j)
String: 01111101110110, Coeffs: (0.0001105595844288969+0j)
String: 11101100111110, Coeffs: (0.00011055958442889446+0j)
String: 11110011110011, Coeffs: (-9.103456161349652e-05+0j)
String: 11100111111001, Coeffs: (-9.103456161347885e-05+0j)
String: 01011110101111, Coeffs: (6.901248514752801e-05+0j)
String: 10101110110111, Coeffs: (-6.61056870714265e-05+0j)
String: 01101111010111, Coeffs: (-6.610568707142646e-05+0j)
String: 01011111001111, Coeffs: (-4.436297314510856e-05+0j)
String: 10011110101111, Coeffs: (-4.4362973145108394e-05+0j)
String: 01101110110111, Coeffs: (4.397377713177627e-05+0j)
String: 00111111010111, Coeffs: (-3.465487736374326e-05+0j)
String: 10101110011111, Coeffs: (-3.465487736374326e-05+0j)
String: 11011101010111, Coeffs: (-3.3639902138484705e-05+0j)
String: 10101111101110, Coeffs: (-3.3639902138450715e-05+0j)
String: 00111111110101, Coeffs: (3.2777394892962244e-05+0j)
String: 11101010011111, Coeffs: (3.2777394892962176e-05+0j)
String: 01111101111100, Coeffs: (-3.2263804183988524e-05+0j)
String: 11111000111110, Coeffs: (-3.22638041839877e-05+0j)
String: 11011010101111, Coeffs: (2.7867943648901084e-05+0j)
String: 01011111101101, Coeffs: (2.7867943648900078e-05+0j)
String: 01011111100111, Coeffs: (-2.5882964075581557e-05+0j)
String: 11001110101111, Coeffs: (-2.5882964075581303e-05+0j)
String: 01111100101111, Coeffs: (2.446795127082885e-05+0j)
String: 01011110111110, Coeffs: (2.4467951270828342e-05+0j)
String: 00111110011111, Coeffs: (2.3206688134915428e-05+0j)
String: 00111111011101, Coeffs: (-1.9701554897780038e-05+0j)
String: 10111010011111, Coeffs: (-1.970155489777987e-05+0j)
String: 01111011010111, Coeffs: (-1.939892946480004e-05+0j)
String: 10101110111101, Coeffs: (-1.9398929464798648e-05+0j)
String: 10110110111011, Coeffs: (-1.8874622206566495e-05+0j)
String: 01110111011011, Coeffs: (-1.8874622206566468e-05+0j)
String: 10111100101111, Coeffs: (1.7635640156008656e-05+0j)
String: 01011111011110, Coeffs: (1.7635640156007894e-05+0j)
String: 01110110111011, Coeffs: (1.6209822499639876e-05+0j)
String: 01111010110111, Coeffs: (1.4516173072166573e-05+0j)
String: 01101110111101, Coeffs: (1.4516173072165873e-05+0j)
String: 01101111011101, Coeffs: (1.3378607988819771e-05+0j)
String: 10111010110111, Coeffs: (1.3378607988817823e-05+0j)
String: 11011100011111, Coeffs: (1.2453119109875589e-05+0j)
String: 00111111101110, Coeffs: (1.245311910987541e-05+0j)
String: 01101111110101, Coeffs: (-1.1967776742696345e-05+0j)
String: 11101010110111, Coeffs: (-1.1967776742695458e-05+0j)
String: 00111110110111, Coeffs: (1.1807157740681772e-05+0j)
String: 01101110011111, Coeffs: (1.1807157740681637e-05+0j)
